,name,id,popularity,genres,followers,image_url
0,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,96,country,12985662,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,99,None,139375324,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
2,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,95,None,113782342,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
3,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,94,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño, dembow belico",16636878,https://i.scdn.co/image/ab6761610000e5eb158a3d24a31166b983e26325
4,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,92,None,23609215,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455
5,Tate McRae,45dkTj5sMRSjrmBSBeiHym,91,None,8110730,https://i.scdn.co/image/ab6761610000e5ebb77b062820e89779ce16fc21
6,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,93,pop,105843991,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0
7,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,93,None,67378110,https://i.scdn.co/image/ab6761610000e5eb373e1be0410d4212bf72acab
8,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,93,None,72826176,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
9,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,93,"art pop, pop",39206457,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
10,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,92,None,48513312,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
11,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,91,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda",22172649,https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696
12,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,92,None,58879322,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
13,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,92,None,82975515,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
14,Benson Boone,22wbnEMDvgVIAGdFeek6ET,89,None,6090367,https://i.scdn.co/image/ab6761610000e5ebb68234e1a673acc3d873d3e6
15,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,88,None,9022689,https://i.scdn.co/image/ab6761610000e5eb6a5bff9f9278d4eea13bb67e
16,Beyoncé,6vWDO969PvNqNYHIOW5v0m,89,None,40513176,https://i.scdn.co/image/ab6761610000e5eb7eaa373538359164b843f7c0
17,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,88,None,34000288,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd
18,Junior H,7Gi6gjaWy3DxyilpF1a8Is,90,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda",25678348,https://i.scdn.co/image/ab6761610000e5eb50998d90507d8c1603b2530b
19,Neton Vega,6pV5zH2LzjOUHaAvENdMMa,90,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico",2804298,https://i.scdn.co/image/ab6761610000e5eb2fcd184b0b566e4e8f550ef8
20,Charli xcx,25uiPmTg16RbhZWAqwLBy5,88,"hyperpop, art pop",5771655,https://i.scdn.co/image/ab6761610000e5eb936885667ef44c306483c838
21,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,92,soft pop,120936011,https://i.scdn.co/image/ab6761610000e5eb399444ed4eace08b549d1161
22,Hozier,2FXC3k01G6Gw61bmprjgqS,86,None,8879647,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
23,Tito Double P,5eumcnUkdmGvkvcsx1WFNG,90,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana",8281685,https://i.scdn.co/image/ab6761610000e5eb694aa9565fcf01714b88dc2f
24,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,88,None,46681232,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
25,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,86,None,6466285,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
